Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jerry Carl,R,AL,01,No,Yes,1971321.0,1859349.0
James Averhart,D,AL,01,No,No,80095.0,78973.0
Barry Moore,R,AL,02,No,Yes,650807.0,669368.0
Phyllis Harvey-Hall,D,AL,02,No,No,56050.0,55988.0
Mike D Rogers,R,AL,03,Yes,Yes,1193111.0,1218564.0
Adia Winfrey,D,AL,03,No,No,50273.0,40971.0
Robert B Aderholt,R,AL,04,Yes,Yes,1255076.0,1323812.0
Rick Neighbors,D,AL,04,No,No,46068.0,45034.0
Mo Brooks,R,AL,05,Yes,Yes,655365.0,210045.0
Gary Palmer,R,AL,06,Yes,Yes,907219.0,909082.0
Terri Sewell,D,AL,07,Yes,Yes,2168165.0,1495957.0
Don Young,R,AK,01,Yes,Yes,1922901.0,1790448.0
Alyse Galvin,I,AK,01,No,No,5178452.0,5088103.0
Tom O'Halleran,D,AZ,01,Yes,Yes,3381353.0,3324138.0
Tiffany Shedd,R,AZ,01,No,No,1675618.0,1615704.0
Ann Kirkpatrick,D,AZ,02,Yes,Yes,1849862.0,1384765.0
Brandon Martin,R,AZ,02,No,No,374821.0,381067.0
Raul M Grijalva,D,AZ,03,Yes,Yes,843560.0,655507.0
Daniel Wood,R,AZ,03,No,No,41422.0,41962.0
Paul Gosar,R,AZ,04,Yes,Yes,622151.0,729892.0
Delina DiSanto,D,AZ,04,No,No,77168.0,79758.0
Andy Biggs,R,AZ,05,Yes,Yes,1602181.0,1236380.0
Joan Greene,D,AZ,05,No,No,356069.0,209789.0
David Schweikert,R,AZ,06,Yes,Yes,2265329.0,2249979.0
Hiral Tipirneni,D,AZ,06,No,No,6301073.0,6366702.0
Tom Lewellen,I,AZ,06,No,No,11685.0,11000.0
Ruben Gallego,D,AZ,07,Yes,Yes,1811754.0,1653961.0
Josh Barnett,R,AZ,07,No,No,28093.0,17883.0
Debbie Lesko,R,AZ,08,Yes,Yes,1605245.0,987453.0
Michael Muscato,D,AZ,08,No,No,357906.0,347734.0
Greg Stanton,D,AZ,09,Yes,Yes,2001619.0,1001350.0
Dave Giles,R,AZ,09,No,No,130480.0,129935.0
Rick Crawford,R,AR,01,Yes,Yes,966801.0,1095518.0
French Hill,R,AR,02,Yes,Yes,3384490.0,3020491.0
Joyce Elliott,D,AR,02,No,No,3482463.0,3478733.0
Steve Womack,R,AR,03,Yes,Yes,1127158.0,923120.0
Celeste Williams (D),D,AR,03,No,No,355294.0,355294.0
Bruce Westerman,R,AR,04,Yes,Yes,1407770.0,1102573.0
William Hanson,D,AR,04,No,No,109767.0,111683.0
Doug LaMalfa,R,CA,01,Yes,Yes,1219556.0,1155945.0
Audrey Denney,D,CA,01,No,No,2461769.0,2457661.0
Jared Huffman,D,CA,02,Yes,Yes,899419.0,797753.0
Dale Mensing,R,CA,02,No,No,5921.0,2197.0
John Garamendi,D,CA,03,Yes,Yes,1054066.0,667320.0
Tamika Hamilton,R,CA,03,No,No,397099.0,384584.0
Tom McClintock,R,CA,04,Yes,Yes,2053363.0,2107248.0
Brynne Kennedy,D,CA,04,No,No,3006020.0,3002532.0
Mike Thompson,D,CA,05,Yes,Yes,2208136.0,2022751.0
