Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jerry Carl,R,AL,01,No,Yes,"$1,971,321","$1,859,349"
James Averhart,D,AL,01,No,No,"$80,095","$78,973"
Barry Moore,R,AL,02,No,Yes,"$650,807","$669,368"
Phyllis Harvey,D,AL,02,No,No,"$56,050","$55,988"
Mike D,R,AL,03,Yes,Yes,"$1,193,111","$1,218,564"
Adia Winfrey,D,AL,03,No,No,"$50,273","$40,971"
Robert B,R,AL,04,Yes,Yes,"$1,255,076","$1,323,812"
Rick Neighbors,D,AL,04,No,No,"$46,068","$45,034"
Mo Brooks,R,AL,05,Yes,Yes,"$655,365","$210,045"
Gary Palmer,R,AL,06,Yes,Yes,"$907,219","$909,082"
Terri Sewell,D,AL,07,Yes,Yes,"$2,168,165","$1,495,957"
Don Young,R,AK,01,Yes,Yes,"$1,922,901","$1,790,448"
Alyse Galvin,I,AK,01,No,No,"$5,178,452","$5,088,103"
Tom O,D,AZ,01,Yes,Yes,"$3,381,353","$3,324,138"
Tiffany Shedd,R,AZ,01,No,No,"$1,675,618","$1,615,704"
Ann Kirkpatrick,D,AZ,02,Yes,Yes,"$1,849,862","$1,384,765"
Brandon Martin,R,AZ,02,No,No,"$374,821","$381,067"
Raul M,D,AZ,03,Yes,Yes,"$843,560","$655,507"
Daniel Wood,R,AZ,03,No,No,"$41,422","$41,962"
Paul Gosar,R,AZ,04,Yes,Yes,"$622,151","$729,892"
Delina DiSanto,D,AZ,04,No,No,"$77,168","$79,758"
Andy Biggs,R,AZ,05,Yes,Yes,"$1,602,181","$1,236,380"
Joan Greene,D,AZ,05,No,No,"$356,069","$209,789"
David Schweikert,R,AZ,06,Yes,Yes,"$2,265,329","$2,249,979"
Hiral Tipirneni,D,AZ,06,No,No,"$6,301,073","$6,366,702"
Tom Lewellen,I,AZ,06,No,No,"$11,685","$11,000"
Ruben Gallego,D,AZ,07,Yes,Yes,"$1,811,754","$1,653,961"
Josh Barnett,R,AZ,07,No,No,"$28,093","$17,883"
Debbie Lesko,R,AZ,08,Yes,Yes,"$1,605,245","$987,453"
Michael Muscato,D,AZ,08,No,No,"$357,906","$347,734"
Greg Stanton,D,AZ,09,Yes,Yes,"$2,001,619","$1,001,350"
Dave Giles,R,AZ,09,No,No,"$130,480","$129,935"
Rick Crawford,R,AR,01,Yes,Yes,"$966,801","$1,095,518"
French Hill,R,AR,02,Yes,Yes,"$3,384,490","$3,020,491"
Joyce Elliott,D,AR,02,No,No,"$3,482,463","$3,478,733"
Steve Womack,R,AR,03,Yes,Yes,"$1,127,158","$923,120"
Celeste Williams,D,AR,03,No,No,"$355,294","$355,294"
Bruce Westerman,R,AR,04,Yes,Yes,"$1,407,770","$1,102,573"
William Hanson,D,AR,04,No,No,"$109,767","$111,683"
Doug LaMalfa,R,CA,01,Yes,Yes,"$1,219,556","$1,155,945"
Audrey Denney,D,CA,01,No,No,"$2,461,769","$2,457,661"
Jared Huffman,D,CA,02,Yes,Yes,"$899,419","$797,753"
Dale Mensing,R,CA,02,No,No,"$5,921","$2,197"
John Garamendi,D,CA,03,Yes,Yes,"$1,054,066","$667,320"
Tamika Hamilton,R,CA,03,No,No,"$397,099","$384,584"
Tom McClintock,R,CA,04,Yes,Yes,"$2,053,363","$2,107,248"
Brynne Kennedy,D,CA,04,No,No,"$3,006,020","$3,002,532"
Mike Thompson,D,CA,05,Yes,Yes,"$2,208,136","$2,022,751"
Doris Matsui,D,CA,06,Yes,Yes,"$1,019,605","$1,073,529"
Christine Bish,R,CA,06,No,No,"$44,772","$44,554"
Ami Bera,D,CA,07,Yes,Yes,"$1,757,748","$1,053,444"
Buzz Patterson,R,CA,07,No,No,"$43,876","$29,614"
Jay Obernolte,R,CA,08,No,Yes,"$1,861,647","$1,792,064"
Chris Bubser,D,CA,08,No,No,"$1,858,001","$1,856,613"
Jerry McNerney,D,CA,09,Yes,Yes,"$1,177,959","$1,112,543"
Tony Amador,R,CA,09,No,No,"$52,175","$52,175"
Josh Harder,D,CA,10,Yes,Yes,"$7,400,135","$3,950,613"
Ted Howze,R,CA,10,No,No,"$1,426,552","$1,721,882"
Mark Desaulnier,D,CA,11,Yes,Yes,"$610,394","$440,537"
Nisha Sharma,R,CA,11,No,No,"$174,954","$171,870"
Nancy Pelosi,D,CA,12,Yes,Yes,"$27,359,508","$22,064,953"
Shahid Buttar,D,CA,12,No,No,"$1,672,876","$1,650,467"
Barbara Lee,D,CA,13,Yes,Yes,"$1,828,213","$1,750,142"
Nikka Piterman,R,CA,13,No,No,"$9,839","$9,904"
Jackie Speier,D,CA,14,Yes,Yes,"$942,934","$919,599"
Eric Swalwell,D,CA,15,Yes,Yes,"$2,807,774","$3,977,839"
